"";"plant_species";"frugivore_species";"ID";"frugivore_species_old";"frugivore_genus";"frugivore_class";"frugivore_order";"frugivore_family";"frugivore_class_old";"frugivore_order_old";"frugivore_family_old";"plant_species_old";"plant_genus";"plant_class";"plant_order";"plant_family";"plant_family_old";"plant.form";"frug.orig";"plant.origin";"plant.IUCN";"fruit.diameter..mm.";"fruit.length..mm.";"fruit.color";"seed.diameter..mm.";"seed.length..mm.";"frugivore.group";"frugivore.body.mass..g.";"frugivore.mean.gape.size..mm.";"frugivory.score";"frugivore.migration.status";"frugivore.population.trend";"frugivore.IUCN";"Country";"Island";"island.adapted";"specific.location";"habitat";"latitude.centroid";"longitude.centroid";"latitude";"longitude";"geographic";"geographic.lat";"geographic.lon";"precision";"reference";"method";"frugivore_native_status";"frugivore_endemic_status";"frugivore_singleislandendemism";"plant_native_status";"plant_endemic_status";"plant_singleislandendemism"
"11";"Acacia mangium";"Cyclura cornuta";49;"Cyclura cornuta";"Cyclura";"Reptilia";"Squamata";"Iguanidae";"Reptilia";"Squamata";"Iguanidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";NA;NA;NA;"orange";NA;NA;"reptile";NA;NA;NA;"resident";"decreasing";"EN";"Dominican Republic";"Hispaniola";"Dominican Republic";"Jaragua National Park";"limestone terraces";18,89620449;-70,49627229;"17.7855° N";"71.5012° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Pasachnik and Martin-Velez, 2017";"animal-oriented";"Native";"Yes";"Yes";"Introduced";"No";"No"
"12";"Acacia mangium";"Mimus polyglottos";618;"Mimus polyglottos";"Mimus";"Aves";"Passeriformes";"Mimidae";"Aves";"Passeriformes";"Mimidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Mata de Plátano, Jarabacoa, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,12159";"-70,58378";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"13";"Acacia mangium";"Todus subulatus";628;"Todus subulatus";"Todus";"Aves";"Coraciiformes";"Todidae";"Aves";"Coraciiformes";"Todidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"14";"Acacia mangium";"Todus angustirostris";625;"Todus angustirostris";"Todus";"Aves";"Coraciiformes";"Todidae";"Aves";"Coraciiformes";"Todidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"15";"Acacia mangium";"Melanerpes striatus";615;"Melanerpes striatus";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Mata de Plátano, Jarabacoa, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,12159";"-70,58378";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"16";"Acacia mangium";"Lonchura punctulata";614;"Lonchura punctulata";"Lonchura";"Aves";"Passeriformes";"Estrildidae";"Aves";"Passeriformes";"Estrildidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"naturalized resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Introduced";"No";"No";"Introduced";"No";"No"
"17";"Acacia mangium";"Todus angustirostris";626;"Todus angustirostris";"Todus";"Aves";"Coraciiformes";"Todidae";"Aves";"Coraciiformes";"Todidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"18";"Acacia mangium";"Setophaga caerulescens";610;"Dendroica caerulenscens";"Setophaga";"Aves";"Passeriformes";"Parulidae";"Aves";"Passeriformes";"Parulidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"migrant";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"19";"Acacia mangium";"Phaenicophilus palmarum";623;"Phaenicophilus palmarum";"Phaenicophilus";"Aves";"Passeriformes";"Phaenicophilidae";"Aves";"Passeriformes";"Phaenicophilidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"20";"Acacia mangium";"Turdus plumbeus";630;"Turdus plumbeus";"Turdus";"Aves";"Passeriformes";"Turdidae";"Aves";"Passeriformes";"Turdidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"21";"Acacia mangium";"Vireo altiloquus";634;"Vireo altiloquus";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident/migrant";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Mata de Plátano, Jarabacoa, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,12159";"-70,58378";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"22";"Acacia mangium";"Melanerpes striatus";617;"Melanerpes striatus";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"23";"Acacia mangium";"Tyrannus dominicensis";632;"Tyrannus dominicensis";"Tyrannus";"Aves";"Passeriformes";"Tyrannidae";"Aves";"Passeriformes";"Tyrannidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"24";"Acacia mangium";"Vireo altiloquus";636;"Vireo altiloquus";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident/migrant";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"25";"Acacia mangium";"Tyrannus dominicensis";633;"Tyrannus dominicensis";"Tyrannus";"Aves";"Passeriformes";"Tyrannidae";"Aves";"Passeriformes";"Tyrannidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"26";"Acacia mangium";"Coereba flaveola";609;"Coereba flaveola";"Coereba";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"27";"Acacia mangium";"Melanerpes striatus";616;"Melanerpes striatus";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"28";"Acacia mangium";"Setophaga pinus";611;"Dendroica pinus";"Setophaga";"Aves";"Passeriformes";"Parulidae";"Aves";"Passeriformes";"Parulidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"29";"Acacia mangium";"Dulus dominicus";612;"Dulus dominicus";"Dulus";"Aves";"Passeriformes";"Dulidae";"Aves";"Passeriformes";"Dulidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Mata de Plátano, Jarabacoa, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,12159";"-70,58378";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"30";"Acacia mangium";"Myiarchus stolidus";621;"Myarchus stolidus";"Myiarchus";"Aves";"Passeriformes";"Tyrannidae";"Aves";"Passeriformes";"Tyrannidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"31";"Acacia mangium";"Mimus polyglottos";619;"Mimus polyglottos";"Mimus";"Aves";"Passeriformes";"Mimidae";"Aves";"Passeriformes";"Mimidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"32";"Acacia mangium";"Phaenicophilus palmarum";622;"Phaenicophilus palmarum";"Phaenicophilus";"Aves";"Passeriformes";"Phaenicophilidae";"Aves";"Passeriformes";"Phaenicophilidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"33";"Acacia mangium";"Vireo altiloquus";635;"Vireo altiloquus";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident/migrant";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"34";"Acacia sp.";"Cyclura cornuta";2971;"Cyclura cornuta";"Cyclura";"Reptilia";"Squamata";"Iguanidae";"Reptilia";"Squamata";"Iguanidae";"Acacia sp.";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Pedernales";"subtropical dry forest";18,89620449;-70,49627229;"";"";"GA";19,0740227101688;-70,7529184711968;"";"Pasachnik & Martín-Velez 2017";"plant-oriented";"Native";"Yes";"Yes";"NoData";"No";"No"
"35";"Acinodendron quadrangulare";"Myadestes genibarbis";2021;"Myadestes genibarbis";"Myadestes";"Aves";"Passeriformes";"Turdidae";"Aves";"Passeriformes";"Turdidae";"Miconia quadrangularis";"Acinodendron";"Magnoliopsida";"Myrtales";"Melastomataceae";"Melastomataceae ";"shrub/small tree";"native";"native";"";"";NA;"";NA;NA;"birds";"";"";NA;"";"";"";"Jamaica";"Jamaica";"Jamaica";NA;"";18,15459368;-77,3185348;"";"";"GA";19,0740227101688;-70,7529184711968;"";"";"animal-oriented";"Native";"Yes";"No";"Native";"Yes";"Yes"
"36";"Acnistus arborescens";"Melanerpes radiolatus";3116;"Melanerpes radiolatus";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Dunalia arborescens";"Acnistus";"Magnoliopsida";"Solanales";"Solanaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"El Yunque National Forest (Río Grande)";"subtropical montane";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"Rodriguez-Vidal 1959";"plant-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"37";"Acnistus arborescens";"Turdus jamaicensis";2033;"Turdus jamaicensis";"Turdus";"Aves";"Passeriformes";"Turdidae";"Aves";"Passeriformes";"Turdidae";"Dunalia arborescens";"Acnistus";"Magnoliopsida";"Solanales";"Solanaceae";"";"";"native";"native";"";"";NA;"";NA;NA;"birds";"";"";NA;"";"";"";"Jamaica";"Jamaica";"Jamaica";NA;"";18,15459368;-77,3185348;"";"";"GA";19,0740227101688;-70,7529184711968;"";"";"animal-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"38";"Acnistus arborescens";"Turdus aurantius";2013;"Turdus aurantius";"Turdus";"Aves";"Passeriformes";"Turdidae";"Aves";"Passeriformes";"Turdidae";"Dunalia arborescens";"Acnistus";"Magnoliopsida";"Solanales";"Solanaceae";"";"";"native";"native";"";"";NA;"";NA;NA;"birds";"";"";NA;"";"";"";"Jamaica";"Jamaica";"Jamaica";NA;"";18,15459368;-77,3185348;"";"";"GA";19,0740227101688;-70,7529184711968;"";"";"animal-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
